frequency,velocity,strike,bowVelocity,bowPosition,bowPressure,gain
659.3,0.4,2.0,0.15,0.14,0.65,0.4
659.3,0.7,0.0,0.6,0.32,0.25,0.75
659.3,0.7,1.0,0.235,0.17,0.28,0.75
659.3,0.7,2.0,0.15,0.14,0.64,0.75
659.3,1.0,0.0,0.6,0.32,0.25,1.0
659.3,1.0,1.0,0.25,0.17,0.3,1.0
659.3,1.0,2.0,0.15,0.14,0.65,1.0
783.9,0.1,0.0,0.6,0.32,0.2,0.1
783.9,0.1,1.0,0.25,0.17,0.2,0.1
783.9,0.1,2.0,0.15,0.14,0.61,0.1
783.9,0.4,0.0,0.6,0.32,0.25,0.32
783.9,0.4,1.0,0.22,0.17,0.27,0.32
783.9,0.4,2.0,0.15,0.14,0.62,0.4
783.9,0.7,0.0,0.6,0.32,0.25,0.75
783.9,0.7,1.0,0.235,0.17,0.28,0.75
783.9,0.7,2.0,0.15,0.14,0.64,0.75
783.9,1.0,0.0,0.6,0.32,0.25,1.0
783.9,1.0,1.0,0.25,0.17,0.3,1.0
783.9,1.0,2.0,0.15,0.14,0.65,1.0
880.0,0.1,0.0,0.6,0.32,0.2,0.1
880.0,0.1,1.0,0.25,0.17,0.2,0.1
880.0,0.1,2.0,0.15,0.14,0.61,0.1
880.0,0.4,0.0,0.6,0.32,0.25,0.32
880.0,0.4,1.0,0.22,0.17,0.27,0.32
880.0,0.4,2.0,0.15,0.14,0.62,0.4
880.0,0.7,0.0,0.6,0.32,0.25,0.75
880.0,0.7,1.0,0.235,0.17,0.28,0.75
880.0,0.7,2.0,0.15,0.14,0.64,0.75
880.0,1.0,0.0,0.6,0.32,0.25,1.0
880.0,1.0,1.0,0.25,0.17,0.3,1.0
880.0,1.0,2.0,0.15,0.14,0.65,1.0
1046.5,0.1,0.0,0.41,0.32,0.1,0.1
1046.5,0.1,1.0,0.25,0.17,0.2,0.1
1046.5,0.1,2.0,0.15,0.14,0.61,0.1
1046.5,0.4,0.0,0.4,0.32,0.2,0.32
1046.5,0.4,1.0,0.22,0.17,0.27,0.32
1046.5,0.4,2.0,0.15,0.14,0.62,0.4
1046.5,0.7,0.0,0.51,0.32,0.25,0.75
1046.5,0.7,1.0,0.235,0.17,0.28,0.75
1046.5,0.7,2.0,0.15,0.14,0.64,0.75
1046.5,1.0,0.0,0.51,0.32,0.25,1.0
1046.5,1.0,1.0,0.25,0.17,0.3,1.0
1046.5,1.0,2.0,0.15,0.14,0.65,1.0
1174.6,0.1,0.0,0.41,0.32,0.1,0.1
1174.6,0.1,1.0,0.25,0.17,0.2,0.1
1174.6,0.1,2.0,0.15,0.14,0.61,0.1
1174.6,0.4,0.0,0.4,0.32,0.2,0.32
1174.6,0.4,1.0,0.22,0.17,0.27,0.32
1174.6,0.4,2.0,0.15,0.14,0.62,0.4
1174.6,0.7,0.0,0.51,0.32,0.25,0.75
1174.6,0.7,1.0,0.235,0.17,0.28,0.75
1174.6,0.7,2.0,0.15,0.14,0.64,0.75
1174.6,1.0,0.0,0.51,0.32,0.25,1.0
1174.6,1.0,1.0,0.25,0.17,0.3,1.0
1174.6,1.0,2.0,0.15,0.14,0.65,1.0
1400.0,0.1,0.0,0.41,0.32,0.1,0.1
1400.0,0.1,1.0,0.25,0.17,0.2,0.1
1400.0,0.1,2.0,0.15,0.14,0.61,0.1
1400.0,0.4,0.0,0.4,0.32,0.2,0.32
1400.0,0.4,1.0,0.22,0.17,0.27,0.32
1400.0,0.4,2.0,0.15,0.14,0.62,0.4
1400.0,0.7,0.0,0.51,0.32,0.25,0.75
1400.0,0.7,1.0,0.235,0.17,0.28,0.75
1400.0,0.7,2.0,0.15,0.14,0.64,0.75
1400.0,1.0,0.0,0.51,0.32,0.25,1.0
1400.0,1.0,1.0,0.25,0.17,0.3,1.0
1400.0,1.0,2.0,0.15,0.14,0.65,1.0
